Pengunjung Ke-,Waktu Kedatangan (Jam),Rentang Waktu Kedatangan (Menit),Pilihan Antrian,Interval Waktu Kembali,Mulai Layanan,Lama Waktu Antri (Menit)
93,1038, 1,QuickPass,1556-1559,1604,-
94,1040, 2,Normal,-,1056,16
95,1040, 0,QuickPass,1624-1627,1632,-
96,1044, 4,Normal,-,1056,12
97,1044, 0,QuickPass,1500-1503,1508,-
98,1045, 1,Normal,-,1056,11
99,1047, 1,Normal,-,1056, 9
100,1047, 0,Normal,-,1056, 9
101,1047, 0,QuickPass,1212-1215,1220,-
102,1047, 0,Normal,-,1056, 9
103,1047, 0,Normal,-,1056, 9
104,1047, 0,QuickPass,1336-1339,1344,-
105,1048, 0,Normal,-,1056, 8
106,1048, 0,Normal,-,1056, 8
107,1049, 1,QuickPass,1404-1407,1412,-
108,1051, 2,Normal,-,1056, 5
109,1051, 0,Normal,-,1056, 5
110,1052, 1,Normal,-,1056, 4
111,1052, 0,QuickPass,1404-1407,1412,-
112,1055, 2,QuickPass,1432-1435,1440,-
113,1057, 3,Normal,-,1124,67
114,1058, 0,QuickPass,1528-1531,1536,-
115,1058, 1,QuickPass,1624-1627,1632,-
116,1059, 0,QuickPass,1500-1503,1508,-
117,1101, 2,Normal,-,1124,23
118,1101, 0,QuickPass,1144-1147,1152,-
119,1102, 1,QuickPass,1212-1215,1220,-
120,1103, 1,Normal,-,1124,21
121,1105, 2,QuickPass,1212-1215,1220,-
122,1106, 1,Normal,-,1124,18
123,1108, 2,Normal,-,1124,16
124,1108, 0,QuickPass,1500-1503,1508,-
125,1109, 1,Normal,-,1124,15
126,1112, 3,Normal,-,1124,12
127,1112, 0,Normal,-,1124,12
128,1113, 1,Normal,-,1124,11
129,1114, 1,Normal,-,1124,10
130,1117, 3,Normal,-,1124, 7
131,1118, 1,QuickPass,1144-1147,1152,-
132,1118, 0,Normal,-,1124, 6
133,1118, 0,Normal,-,1124, 6
134,1120, 1,QuickPass,1432-1435,1440,-
135,1120, 0,Normal,-,1124, 4
136,1122, 2,Normal,-,1124, 2
137,1124, 1,QuickPass,1556-1559,1604,-
138,1125, 1,QuickPass,1432-1435,1440,-
139,1127, 3,QuickPass,1528-1531,1536,-
140,1128, 0,QuickPass,1556-1559,1604,-
141,1132, 4,Normal,-,1152,20
142,1132, 0,Normal,-,1152,20
143,1132, 0,Normal,-,1152,20
144,1134, 2,Normal,-,1152,18
145,1135, 1,Normal,-,1152,17
146,1136, 1,QuickPass,1500-1503,1508,-
147,1137, 1,Normal,-,1152,15
148,1139, 1,Normal,-,1152,13
149,1139, 1,Normal,-,1152,13
150,1141, 2,Normal,-,1152,11
151,1141, 0,Normal,-,1152,11
152,1144, 2,QuickPass,1500-1503,1508,-
153,1146, 2,Normal,-,1152, 6
154,1146, 0,Normal,-,1152, 6
155,1146, 0,Normal,-,1152, 6
156,1146, 0,QuickPass,1240-1243,1248,-
157,1149, 3,Normal,-,1152, 3
158,1149, 0,QuickPass,1500-1503,1508,-
159,1150, 1,Normal,-,1152, 2
160,1151, 1,Normal,-,1152, 1
161,1151, 0,QuickPass,1404-1407,1412,-
162,1152, 1,QuickPass,1556-1559,1604,-
163,1152, 1,Normal,-,1220,68
164,1153, 1,Normal,-,1220,67
165,1153, 0,QuickPass,1240-1243,1248,-
166,1154, 1,Normal,-,1220,66
167,1157, 3,Normal,-,1220,63
168,1157, 0,Normal,-,1220,63
169,1158, 1,QuickPass,1500-1503,1508,-
170,1159, 1,QuickPass,1624-1627,1632,-
171,1201, 2,Normal,-,1220,19
172,1201, 0,Normal,-,1220,19
173,1203, 2,Normal,-,1220,17
174,1203, 0,QuickPass,1404-1407,1412,-
175,1203, 0,QuickPass,1624-1627,1632,-
176,1204, 1,Normal,-,1220,16
177,1205, 1,QuickPass,1240-1243,1248,-
178,1205, 0,Normal,-,1220,15
179,1208, 3,Normal,-,1220,12
180,1208, 1,Normal,-,1220,12
181,1209, 0,Normal,-,1220,11
182,1209, 1,Normal,-,1220,11
183,1210, 0,QuickPass,1404-1407,1412,-
184,1211, 1,Normal,-,1220, 9
185,1211, 0,QuickPass,1336-1339,1344,-
186,1213, 2,QuickPass,1240-1243,1248,-
187,1214, 1,QuickPass,1624-1627,1632,-
188,1216, 2,QuickPass,1308-1311,1316,-
189,1217, 1,QuickPass,1240-1243,1248,-
190,1219, 2,QuickPass,1500-1503,1508,-
191,1219, 1,QuickPass,1240-1243,1248,-
192,1219, 0,QuickPass,1500-1503,1508,-
193,1222, 3,Normal,-,1248,26
194,1223, 0,Normal,-,1248,25
195,1224, 1,QuickPass,1308-1311,1316,-
196,1224, 0,QuickPass,1624-1627,1632,-
197,1224, 0,Normal,-,1248,24
198,1224, 0,Normal,-,1248,24
199,1225, 1,Normal,-,1248,23
200,1229, 4,Normal,-,1248,19
201,1230, 2,Normal,-,1248,18
202,1230, 0,Normal,-,1248,18
203,1231, 1,Normal,-,1248,17
204,1232, 1,QuickPass,1528-1531,1536,-
205,1232, 0,QuickPass,1624-1627,1632,-
206,1232, 0,QuickPass,1528-1531,1536,-
207,1232, 0,QuickPass,1404-1407,1412,-
208,1232, 0,QuickPass,1432-1435,1440,-
209,1234, 1,QuickPass,1336-1339,1344,-
210,1235, 1,QuickPass,1432-1435,1440,-
211,1235, 0,QuickPass,1624-1627,1632,-
212,1237, 2,QuickPass,1500-1503,1508,-
213,1238, 1,QuickPass,1336-1339,1344,-
214,1239, 2,QuickPass,1404-1407,1412,-
215,1240, 0,QuickPass,1404-1407,1412,-
216,1241, 1,QuickPass,1624-1627,1632,-
217,1241, 1,QuickPass,1336-1339,1344,-
218,1242, 1,QuickPass,1556-1559,1604,-
219,1243, 0,QuickPass,1624-1627,1632,-
220,1245, 3,QuickPass,1432-1435,1440,-
221,1245, 0,QuickPass,1432-1435,1440,-
222,1247, 2,QuickPass,1624-1627,1632,-
223,1247, 0,QuickPass,1624-1627,1632,-
224,1248, 0,QuickPass,1336-1339,1344,-
225,1248, 0,QuickPass,1336-1339,1344,-
226,1248, 1,Normal,-,1316,68
227,1249, 0,Normal,-,1316,67
228,1249, 0,Normal,-,1316,67
229,1249, 0,QuickPass,1336-1339,1344,-
230,1250, 1,Normal,-,1316,66
231,1250, 0,Normal,-,1316,66
232,1251, 1,QuickPass,1528-1531,1536,-
233,1252, 1,Normal,-,1316,64
234,1257, 5,QuickPass,1308-1311,1316,-
235,1257, 0,Normal,-,1316,59
236,1259, 2,Normal,-,1316,57
237,1301, 2,Normal,-,1316,15
238,1304, 3,QuickPass,1528-1531,1536,-
239,1304, 0,QuickPass,1528-1531,1536,-
240,1306, 1,Normal,-,1316,10
241,1307, 1,Normal,-,1316, 9
242,1307, 1,QuickPass,1528-1531,1536,-
243,1309, 2,Normal,-,1316, 7
244,1310, 1,QuickPass,1500-1503,1508,-
245,1310, 0,QuickPass,1528-1531,1536,-
246,1310, 0,QuickPass,1336-1339,1344,-
247,1311, 1,QuickPass,1336-1339,1344,-
248,1313, 3,QuickPass,1624-1627,1632,-
249,1314, 0,QuickPass,1624-1627,1632,-
250,1314, 0,QuickPass,1528-1531,1536,-
251,1315, 0,QuickPass,1556-1559,1604,-
252,1316, 2,Normal,-,1344,28
253,1317, 0,Normal,-,1344,27
254,1317, 0,Normal,-,1344,27
255,1318, 2,QuickPass,1624-1627,1632,-
256,1319, 0,QuickPass,1500-1503,1508,-
257,1319, 0,QuickPass,1404-1407,1412,-
258,1319, 0,QuickPass,1404-1407,1412,-
259,1319, 1,QuickPass,1624-1627,1632,-
260,1320, 0,QuickPass,1624-1627,1632,-
261,1321, 1,QuickPass,1432-1435,1440,-
262,1321, 0,QuickPass,1528-1531,1536,-
263,1323, 2,QuickPass,1624-1627,1632,-
264,1323, 0,QuickPass,1404-1407,1412,-
265,1324, 1,QuickPass,1432-1435,1440,-
266,1324, 1,QuickPass,1432-1435,1440,-
267,1327, 3,QuickPass,1432-1435,1440,-
268,1330, 2,QuickPass,1528-1531,1536,-
269,1331, 1,QuickPass,1528-1531,1536,-
270,1331, 1,QuickPass,1432-1435,1440,-
271,1332, 1,QuickPass,1404-1407,1412,-
272,1333, 1,QuickPass,1556-1559,1604,-
273,1334, 1,QuickPass,1404-1407,1412,-
274,1335, 1,QuickPass,1404-1407,1412,-
275,1336, 0,QuickPass,1528-1531,1536,-
276,1337, 1,QuickPass,1432-1435,1440,-
277,1337, 0,QuickPass,1556-1559,1604,-
278,1339, 1,QuickPass,1556-1559,1604,-
279,1340, 1,QuickPass,1556-1559,1604,-
280,1342, 3,QuickPass,1556-1559,1604,-
281,1344, 1,QuickPass,1528-1531,1536,-
282,1345, 1,Normal,-,1412,67
283,1345, 0,QuickPass,1556-1559,1604,-
284,1346, 2,Normal,-,1412,66
285,1347, 1,Normal,-,1412,65
286,1349, 1,Normal,-,1412,63
287,1351, 3,Normal,-,1412,61
288,1353, 1,Normal,-,1412,59
289,1353, 0,QuickPass,1432-1435,1440,-
290,1355, 2,-,-,-,-
291,1357, 3,QuickPass,1556-1559,1604,-
292,1400, 3,QuickPass,1556-1559,1604,-
293,1402, 1,QuickPass,1528-1531,1536,-
294,1403, 1,QuickPass,1556-1559,1604,-
295,1403, 0,QuickPass,1556-1559,1604,-
296,1404, 1,QuickPass,1556-1559,1604,-
297,1406, 3,QuickPass,1528-1531,1536,-
298,1412, 6,QuickPass,1556-1559,1604,-
299,1414, 2,QuickPass,1528-1531,1536,-
300,1416, 2,QuickPass,1528-1531,1536,-
301,1417, 1,-,-,-,-
302,1418, 1,-,-,-,-
303,1419, 1,-,-,-,-
304,1419, 0,-,-,-,-
305,1419, 0,-,-,-,-
306,1419, 0,-,-,-,-
307,1422, 3,-,-,-,-
308,1426, 4,-,-,-,-
309,1428, 1,-,-,-,-
310,1429, 1,-,-,-,-
311,1432, 3,-,-,-,-
312,1432, 1,-,-,-,-
313,1434, 2,-,-,-,-
314,1435, 0,-,-,-,-
315,1435, 0,-,-,-,-
316,1435, 0,-,-,-,-
317,1436, 0,-,-,-,-
318,1436, 1,-,-,-,-
319,1439, 3,-,-,-,-
320,1442, 3,-,-,-,-
321,1443, 2,-,-,-,-
322,1446, 3,-,-,-,-
323,1447, 1,-,-,-,-
324,1448, 1,-,-,-,-
325,1449, 1,-,-,-,-
326,1449, 0,-,-,-,-
327,1450, 1,-,-,-,-
328,1451, 1,-,-,-,-
329,1451, 0,-,-,-,-
330,1451, 0,-,-,-,-
331,1452, 1,-,-,-,-
332,1452, 0,-,-,-,-
333,1453, 0,-,-,-,-
334,1453, 0,-,-,-,-
335,1456, 4,-,-,-,-
336,1456, 0,-,-,-,-
337,1457, 1,-,-,-,-
338,1459, 2,-,-,-,-
339,1500, 1,-,-,-,-
340,1500, 0,-,-,-,-
341,1501, 1,-,-,-,-
342,1502, 1,-,-,-,-
343,1507, 4,-,-,-,-
344,1507, 1,-,-,-,-
345,1507, 0,-,-,-,-
346,1509, 1,-,-,-,-
347,1512, 3,-,-,-,-
348,1512, 1,-,-,-,-
349,1514, 2,-,-,-,-
350,1514, 0,-,-,-,-
351,1514, 0,-,-,-,-
352,1516, 2,-,-,-,-
353,1519, 3,-,-,-,-
354,1520, 1,-,-,-,-
355,1520, 1,-,-,-,-
356,1523, 3,-,-,-,-
357,1523, 0,-,-,-,-
358,1523, 0,-,-,-,-
359,1528, 5,-,-,-,-
360,1529, 1,-,-,-,-
361,1529, 0,-,-,-,-
362,1530, 1,-,-,-,-
363,1531, 2,-,-,-,-
364,1533, 2,-,-,-,-
365,1535, 2,-,-,-,-
366,1535, 0,-,-,-,-
367,1537, 2,-,-,-,-
368,1538, 1,-,-,-,-
369,1538, 0,-,-,-,-
370,1538, 0,-,-,-,-
371,1542, 4,-,-,-,-
372,1542, 0,-,-,-,-
373,1543, 1,-,-,-,-
374,1543, 0,-,-,-,-
375,1543, 0,-,-,-,-
376,1543, 0,-,-,-,-
377,1543, 0,-,-,-,-
378,1544, 0,-,-,-,-
379,1544, 0,-,-,-,-
380,1545, 1,-,-,-,-
381,1546, 1,-,-,-,-
382,1546, 0,-,-,-,-
383,1547, 1,-,-,-,-
384,1548, 1,-,-,-,-
385,1550, 1,-,-,-,-
386,1550, 0,-,-,-,-
387,1551, 1,-,-,-,-
388,1551, 0,-,-,-,-
389,1551, 0,-,-,-,-
390,1552, 1,-,-,-,-
391,1553, 1,-,-,-,-
392,1555, 2,-,-,-,-
393,1556, 1,-,-,-,-
394,1556, 0,-,-,-,-
395,1558, 2,-,-,-,-
396,1558, 0,-,-,-,-
397,1559, 1,-,-,-,-
398,1560, 1,-,-,-,-
399,1602, 2,-,-,-,-
400,1602, 0,-,-,-,-
401,1604, 2,-,-,-,-
402,1607, 3,-,-,-,-
403,1608, 1,-,-,-,-
404,1609, 1,-,-,-,-
405,1609, 0,-,-,-,-
406,1610, 1,-,-,-,-
407,1612, 2,-,-,-,-
408,1613, 1,-,-,-,-
409,1613, 0,-,-,-,-
410,1613, 0,-,-,-,-
411,1613, 0,-,-,-,-
412,1614, 1,-,-,-,-
413,1615, 0,-,-,-,-
414,1616, 1,-,-,-,-
415,1616, 1,-,-,-,-
416,1618, 2,-,-,-,-
417,1620, 2,-,-,-,-
418,1620, 0,-,-,-,-
419,1620, 0,-,-,-,-
420,1623, 3,-,-,-,-
421,1625, 2,-,-,-,-
422,1626, 1,-,-,-,-
423,1627, 0,-,-,-,-
424,1627, 1,-,-,-,-
425,1629, 1,-,-,-,-
426,1629, 1,-,-,-,-
427,1630, 0,-,-,-,-
428,1630, 0,-,-,-,-
429,1631, 1,-,-,-,-
430,1633, 3,-,-,-,-
431,1638, 4,-,-,-,-
432,1638, 1,-,-,-,-
433,1638, 0,-,-,-,-
434,1639, 1,-,-,-,-
435,1640, 1,-,-,-,-
436,1640, 0,-,-,-,-
437,1641, 1,-,-,-,-
438,1643, 2,-,-,-,-
439,1644, 0,-,-,-,-
440,1644, 0,-,-,-,-
441,1644, 0,-,-,-,-
442,1645, 1,-,-,-,-
443,1646, 1,-,-,-,-
444,1646, 0,-,-,-,-
445,1646, 0,-,-,-,-
446,1646, 0,-,-,-,-
447,1649, 2,-,-,-,-
448,1650, 1,-,-,-,-
449,1655, 5,-,-,-,-
450,1655, 1,-,-,-,-
451,1656, 0,-,-,-,-
